URL,Category,Mobile_Performance_Score,Mobile_FCP,Mobile_LCP,Mobile_SI,Mobile_TTI,Mobile_TBT,Mobile_CLS,Desktop_Performance_Score,Desktop_FCP,Desktop_LCP,Desktop_SI,Desktop_TTI,Desktop_TBT,Desktop_CLS
https://www.sortlist.com/l/hawthorn-vic-au,Landing Location,75,1522,2101,7678,7801,635,0,71,461,561,772,2588,1010,0
https://www.sortlist.com/l/port-harcourt-rivers-ng,Landing Location,79,1453,1951,3413,7342,799,0,74,391,614,770,2279,716,0
https://www.sortlist.com/l/klang-selangor-my,Landing Location,89,1518,2101,3974,7767,326,0,79,340,481,2254,2033,371,0
https://www.sortlist.com/l/monaco-ville-mc,Landing Location,API Error,API Error,API Error,API Error,API Error,API Error,API Error,77,438,581,862,2125,581,0
https://www.sortlist.com/l/ruiru-ke,Landing Location,86,1417,1951,3619,7357,448,0,79,347,441,1923,1988,399,0
https://www.sortlist.com/l/kabul-kabul,Landing Location,87,1383,1951,3967,7428,396,0,79,348,441,1557,2023,437,0
https://www.sortlist.com/l/amritsar,Landing Location,84,1456,1951,3019,7758,563,0,78,394,541,1371,2008,482,0
https://www.sortlist.com/l/cordoba-ar,Landing Location,90,1416,1951,3522,7018,352,0,79,340,461,1663,1830,428,0
https://www.sortlist.com/l/izmir-tr,Landing Location,83,1801,2401,4022,7528,463,0,78,401,789,780,2194,521,0
https://www.sortlist.com/l/barangaroo-nsw-au,Landing Location,77,1530,2101,3681,7558,835,0,72,346,481,1620,2156,715,0
https://www.sortlist.com/l/taguig-ncr-ph,Landing Location,76,1546,2101,4488,7567,865,0,79,406,481,824,1968,480,0
https://www.sortlist.com/l/tashkent-uz,Landing Location,87,1436,1951,3957,7775,397,0,72,426,581,1265,2284,792,0
https://www.sortlist.com/l/limassol-cy,Landing Location,84,1439,1951,3674,8309,534,0,68,418,1424,1237,2376,811,0
https://www.sortlist.com/l/chennai-in,Landing Location,90,1374,1951,4777,6812,268,0,90,401,608,843,1793,250,0
https://www.sortlist.com/l/larnaca-cy,Landing Location,81,1387,1951,4645,7740,597,0,74,399,624,1442,2610,627,0
https://www.sortlist.com/l/shinjuku-tokyo-jp,Landing Location,48,1681,6668,4070,8681,1531,0,77,374,630,1364,2021,500,0
https://www.sortlist.com/mendix-development,Service Landing,73,1693,2401,5293,8898,836,0,74,386,441,1475,2410,597,0
https://www.sortlist.com/community-building,Service Landing,72,1690,2551,5578,11137,834,0,83,416,627,873,2379,383,0
https://www.sortlist.com/urban-design,Service Landing,78,1688,2251,4594,10127,662,0,74,385,481,1572,2547,623,0
https://www.sortlist.com/offshore-software-development,Service Landing,77,1680,2255,4773,8966,724,0,88,441,769,1090,2247,278,0
https://www.sortlist.com/casting,Service Landing,75,1542,1951,5712,8154,789,0,69,388,561,1922,2733,899,0
https://www.sortlist.com/arcore-development,Service Landing,74,1543,2401,4218,8803,898,0,65,400,521,2357,2967,1241,0
https://www.sortlist.com/google-analytics,Service Landing,70,1544,2251,5470,7627,1112,0,67,389,521,2122,2716,1124,0
https://www.sortlist.com/graphic-chart-design,Service Landing,78,1822,2401,5334,7450,558,0,73,462,621,697,2299,768,0
https://www.sortlist.com/distribution,Service Landing,70,2101,2551,5550,11050,904,0,73,458,581,852,2876,807,0
http://www.sortlist.com/innovation/,Service Landing,57,2175,3034,9973,10064,1460,0,64,563,602,2477,3588,1590,0
https://www.sortlist.com/xing,Service Landing,74,1697,2476,4136,8570,863,0,87,424,641,871,1986,307,0
https://www.sortlist.com/ux-design,Service Landing,76,1677,2251,8078,9624,546,0,72,382,481,2259,2725,582,0
https://www.sortlist.com/medusa-ecommerce-development,Service Landing,76,1533,2101,3880,7869,878,0,70,449,521,704,2939,1472,0
https://www.sortlist.com/lead-management,Service Landing,81,1672,2251,5528,9750,504,0,67,393,541,2183,3096,1111,0
https://www.sortlist.com/appy-pie-development,Service Landing,75,1699,2401,5064,8505,771,0,75,419,442,776,2250,634,0
http://www.sortlist.com/socical-media/,Service Landing,95,1727,2434,2684,7804,150,0,99,457,720,674,1619,88,0
https://www.sortlist.com/tableau-consulting,Service Landing,73,1533,2101,4196,7820,1078,0,72,424,522,717,2728,993,0
https://www.sortlist.com/amp-development,Service Landing,68,1685,2101,5923,8368,1346,0,66,399,481,2141,3051,1444,0
https://www.sortlist.com/google-ads,Service Landing,74,1694,2251,4498,10332,914,0,72,450,486,866,2876,978,0
https://www.sortlist.com/sound-effects,Service Landing,72,1699,2402,5631,10422,877,0,68,388,521,2170,2748,857,0
https://www.sortlist.com/cakephp-development,Service Landing,66,1689,2101,5462,10552,1848,0,67,387,504,2538,2644,834,0
https://www.sortlist.com/customer-relationship-management,Service Landing,77,1673,2251,5098,8364,671,0,71,433,481,755,2741,1050,0
https://www.sortlist.com/microstrategy-consulting,Service Landing,73,2101,2701,3985,8421,825,0,70,387,561,1505,2586,899,0
https://www.sortlist.com/theatre-lighting,Service Landing,70,1687,2252,6609,10060,994,0,73,422,561,735,2904,844,0
https://www.sortlist.com/product-marketing,Service Landing,73,1694,2101,8630,8161,672,0,75,385,541,1537,2361,569,0
https://www.sortlist.com/visual-communication,Service Landing,79,1821,2401,5747,8127,494,0,74,467,565,738,2795,733,0
https://www.sortlist.com/commercial-video-production,Service Landing,73,1538,2101,5217,7658,1000,0,70,431,521,1421,2793,1023,0
https://www.sortlist.com/brand-awareness,Service Landing,70,1691,2101,6286,10346,1025,0,73,468,480,773,2810,825,0
http://www.sortlist.com/copywriting,Service Landing,63,2164,2731,6310,8840,1351,0,68,535,671,2495,2766,756,0
https://www.sortlist.com/interactive-marketing,Service Landing,73,1838,2101,4527,7961,1058,0,77,420,642,1847,2556,460,0
https://www.sortlist.com/project/new?&,Project,51,1272,7621,3129,18838,1184,0,60,494,2063,861,5537,2247,0
https://www.sortlist.com/project/new?autoload=true,Project,49,1272,10193,3643,18528,1310,0,56,356,2725,934,4326,1098,0
https://www.sortlist.com/project/new,Project,80,1243,2851,2730,17814,613,0,62,372,1963,723,4553,1091,0
https://www.sortlist.com/blog/generate-leads/,Blog,69,1379,14367,3671,19682,250,0,68,843,3206,3404,3884,190,0
https://www.sortlist.com/blog/find-micro-influencers/,Blog,57,5578,14398,6141,20604,207,0,52,1109,3040,1394,5221,505,0
https://www.sortlist.com/blog/communication-agency-price/,Blog,59,4201,17417,5471,18805,220,0,78,1022,2865,2003,3720,110,0
https://www.sortlist.com/blog/author/emmareelozada/page/4/,Blog,66,3003,13757,4511,18258,144,0,83,1093,2112,1093,3902,175,0
https://www.sortlist.com/blog/creative-automation/,Blog,49,5581,16392,13546,24076,312,0,55,1109,4410,3808,5637,207,0
https://www.sortlist.com/blog/cats-and-dogs-for-business/,Blog,62,3613,16583,6247,16740,0,0,80,861,3305,1389,3339,0,0
https://www.sortlist.com/blog/marketing-survey-smbs-budgets-trends-inspiration/,Blog,60,6042,16132,6293,16305,6,0,81,958,3047,1191,3075,0,0
https://www.sortlist.com/blog/lifestyle-brand/,Blog,26,5584,40613,16936,54330,3062,0,28,1065,7490,4626,11049,1742,0
https://www.sortlist.com/blog/downward-communication/,Blog,50,4232,13316,5715,22109,480,0,76,942,3641,1578,4331,110,0
https://www.sortlist.com/blog/how-to-use-google-my-business/),Blog,64,2003,13156,5111,17839,281,0,76,1133,2862,2240,3543,125,0
